strain_id,generation,avg_profit
BT[-4.92355536627]DP[4.91565637212]ML[-1.9405961127],1,12.764083748
BT[-8.92216638019]DP[2.25201865087]ML[-5.21790970161],2,13.1564888113
BT[-1.26481740788]DP[2.25201865087]ML[-5.21790970161],3,13.1564888113
BT[-11.9484768726]DP[2.25201865087]ML[-14.9561911086],4,13.1564888113
BT[-11.9484768726]DP[2.25201865087]ML[-14.9561911086],4,13.1564888113
BT[-11.9484768726]DP[3.32368721432]ML[-21.4506337722],5,14.3550231218
BT[-8.63422002037]DP[3.7730332932]ML[-14.9561911086],7,14.6954628287
BT[-6.90928780673]DP[3.7730332932]ML[-17.9983083969],8,14.6954628287
BT[-6.90928780673]DP[3.7730332932]ML[-17.9983083969],8,14.6954628287
BT[-6.90928780673]DP[3.7730332932]ML[-3.02153813273],10,14.6954628287
BT[-6.90928780673]DP[3.7730332932]ML[-8.1642520157],11,14.6954628287
BT[-14.7657625512]DP[3.7730332932]ML[-16.3560809751],11,14.6954628287
BT[-9.24120157354]DP[3.7730332932]ML[-7.41463477309],12,14.6954628287
BT[-9.24120157354]DP[3.7730332932]ML[-0.203318874047],13,14.8795926876
BT[-9.24120157354]DP[3.7730332932]ML[-0.203318874047],14,14.8795926876
BT[-9.24120157354]DP[3.7730332932]ML[-0.203318874047],14,14.8795926876
BT[-9.24120157354]DP[3.7730332932]ML[-0.203318874047],14,14.8795926876
BT[-9.89180022897]DP[3.7730332932]ML[-0.203318874047],16,14.8795926876
BT[-9.24120157354]DP[3.7730332932]ML[-0.203318874047],16,14.8795926876
BT[-14.8699354163]DP[3.73569291349]ML[-0.203318874047],17,14.8795926876
BT[-7.30314800716]DP[3.73569291349]ML[-0.203318874047],18,14.8795926876
BT[-7.30314800716]DP[3.73569291349]ML[-0.203318874047],19,14.8795926876
BT[-4.30892561146]DP[3.73569291349]ML[-0.203318874047],20,14.8795926876
BT[-13.4127625862]DP[3.73569291349]ML[-0.203318874047],20,14.8795926876
BT[-20.3174541329]DP[3.73569291349]ML[-0.203318874047],21,14.8795926876
BT[-7.30314800716]DP[3.73569291349]ML[-0.203318874047],20,14.8795926876
BT[-7.62393143146]DP[3.73569291349]ML[-0.203318874047],21,14.8795926876
BT[-7.62393143146]DP[3.73569291349]ML[-0.203318874047],22,14.8795926876
BT[-13.1175296553]DP[3.73569291349]ML[-0.203318874047],22,14.8795926876
BT[-17.5204883625]DP[3.73569291349]ML[-0.203318874047],23,14.8795926876
BT[-7.62393143146]DP[3.73569291349]ML[-0.203318874047],22,14.8795926876
BT[-17.5204883625]DP[3.73569291349]ML[-0.203318874047],24,14.8795926876
